ListName,DomainOwner,CRMType,PullOwner
CustomizationMap_F24_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_F24_PULL,MES,Direct Pull,PIC
EquipModel_F24_PULL,AIT,Direct Pull,PIC
EquipProcessing_F24_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_F24_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_F24_PULL,AMO/L8,MCCB,PIC
ForceLotPurgeConfiguration_F24_PULL,AIT,Direct Pull Special,PIC
FOUPCarrierOperationValidation_F24_PULL,AIT,Direct Pull,PIC
FOUPCarrierType_F24_PULL,AIT,Direct Pull,PIC
FunctionalAreaValidation_F24_PULL,WIP,Direct Pull,PIC
Groups_F24_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_F24_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_F24_PULL,MES,Direct Pull,PIC
L8CapableTools_F24_PULL,AMO/L8,Direct Pull Special,PIC
L8CustomizationPointWFConfig_F24_PULL,AMO/L8,MCCB,PIC
L8SSTChemGroupPrecedence_F24_PULL,AMO/L8,Users,Users
L8SSTOperChemGroupMapping_F24_PULL,AMO/L8,Users,Users
L8VIMOperToSpecies_F24_PULL,AMO/L8,Users,Users
LossCodes_F24_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_F24_PULL,MES,Direct Pull,MES
NonGatingDispoOperationConfiguration_F24_PULL,MES,Users,Users
OperationWorkflowDefinition_F24_PULL,WIP,Direct Pull Special,PIC
PFCFunctionalTypes_F24_PULL,WIP,Direct Pull,PIC
PFCMaskAlignments_F24_PULL,WIP,Direct Pull,PIC
PMCounterReset_F24_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_F24_PULL,MES,Direct Pull,PIC
PurgeFOUPTypeConfig_F24_PULL,AIT,Direct Pull,PIC
PurgeOperationConfigEx_F24_PULL,AIT,Direct Pull Special,PIC
PxCascadeTrack2_F24_PULL,AMO/L8,MCCB,PIC
RegenManualMoveOutConfig_F24_PULL,AIT,Direct Pull,PIC
ReworkCauses_F24_PULL,WIP,Direct Pull,PIC
ReworkLimitOnLithoLayers_F24_PULL,MES,Users,Users
SmartDelayConfigurationEx_F24_PULL,AMO/L8,Direct Pull Special,PIC
SONIC_SKIP_OPERATIONS_1222_F24_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1272_F24_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1273_F24_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1274_F24_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1276_F24_PULL,MES,Users,Users
SorterAction_F24_PULL,WIP,Direct Pull,PIC
StartsQueueConfiguration_F24_PULL,AIT,Direct Pull,PIC
SubmarineConfig_F24_PULL,MES,Direct Pull Special,PIC
SubmarineLiteCapacitorConfig_F24_PULL,MES,Direct Pull Special,PIC
TALAConcurrencyEnabledTool_F24_PULL,MES,Direct Pull Special,PIC
TALAExcludedUDAUpdate_F24_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesDefect_F24_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesParticle_F24_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesThickness_F24_PULL,AIT,Direct Pull,PIC
TWAttributesReset_F24_PULL,MES,Direct Pull,PIC
UndoAllowedIntermediateTransactions_F24_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_F24_PULL,WIP,MCCB,MES
VFMFGIDValidationList_F24_PULL,User,Direct Pull,PIC
WIPSteeringConfigurationEx_F24_PULL,AIT,Direct Pull,PIC
AMQueueCompareConfig_F21_PULL,AMO/L8,MCCB,PIC
AreaModuleValidation_F21_PULL,AIT,Direct Pull,PIC
ASOMConfig_F21_PULL,AMO/L8,MCCB,MES
ASOMDispatchConfig_F21_PULL,AMO/L8,Direct Pull Special,PIC
AssembleLotAttributeRules_F21_PULL,MES,Users,Users
AutoFOSBNameConfig_F21_PULL,MES,Direct Pull,PIC
AutoMergeSplitConfig_F21_PULL,MES,Direct Pull Special,PIC
BatchToolList_F21_PULL,AIT,Direct Pull,PIC
BOMAttachOpers_F21_PULL,SFC,Direct Pull,PIC
CascadeConfig_F21_PULL,AMO/L8,MCCB,PIC
ChainLogEventSetup_F21_PULL,MES,Direct Pull,PIC
ChildLotPlanConfigurationForSplitLotRework_F21_PULL,MES,Direct Pull,PIC
ClusterConfiguration_F21_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_F21_PULL,MES,Direct Pull,PIC
ComponentLossCodes_F21_PULL,MES,Users,Users
CQTReworkOperGroups_F21_PULL,MES,Users,Users
CriticalQueueTimeConfiguration_F21_PULL,AMO/L8,Direct Pull Special,PIC
CriticalQueueTimeConfigurationEx_F21_PULL,AMO/L8,Direct Pull Special,PIC
CustomizationMap_F21_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_F21_PULL,MES,Direct Pull,PIC
DOCLotDieBonusCodes_F21_PULL,MES,MCCB,PIC
DOCLotDieLossCodes_F21_PULL,AIT,Direct Pull,PIC
EquipModel_F21_PULL,AIT,Direct Pull,PIC
EquipProcessing_F21_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_F21_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_F21_PULL,AMO/L8,MCCB,PIC
ForceLotPurgeConfiguration_F21_PULL,AIT,Direct Pull Special,PIC
FOUPCarrierConfigurations_F21_PULL,MES,Direct Pull,PIC
FOUPCarrierOperationValidation_F21_PULL,AIT,Direct Pull,PIC
FOUPCarrierType_F21_PULL,AIT,Direct Pull,PIC
FunctionalAreaValidation_F21_PULL,WIP,Direct Pull,PIC
GlassWaferConstants_F21_PULL,MES,Users,Users
Groups_F21_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_F21_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_F21_PULL,MES,Direct Pull,PIC
L8CapableTools_F21_PULL,AMO/L8,Direct Pull Special,PIC
L8CustomizationPointWFConfig_F21_PULL,AMO/L8,MCCB,PIC
L8SSTChemGroupPrecedence_F21_PULL,AMO/L8,Users,Users
L8SSTOperChemGroupMapping_F21_PULL,AMO/L8,Users,Users
L8VIMOperToSpecies_F21_PULL,AMO/L8,Users,Users
LossCodes_F21_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_F21_PULL,MES,Direct Pull,MES
MergeLotAttributesRules_F21_PULL,MES,Users,Users
NonGatingDispoOperationConfiguration_F21_PULL,MES,Users,Users
OperationAttributes_F21_PULL,MES,Direct Pull,PIC
OperationWorkflowDefinition_F21_PULL,WIP,Direct Pull Special,PIC
PartialWaferDieLossCodes_F21_PULL,AIT,Users,Users
PFCFunctionalTypes_F21_PULL,WIP,Direct Pull,PIC
PFCMaskAlignments_F21_PULL,WIP,Direct Pull,PIC
PiecePartVendorUDA_F21_PULL,AIT,Users,Users
PMCounterReset_F21_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_F21_PULL,MES,Direct Pull,PIC
ProductCodeGroup_F21_PULL,MES,Users,Users
ProductAutoAdjustMapping_F21_PULL,MES,Users,Users
ProductPackageFamily_F21_PULL,MES,Users,Users
ProductPackageType_F21_PULL,MES,Users,Users
PurgeFOUPTypeConfig_F21_PULL,AIT,Direct Pull,PIC
PurgeOperationConfigEx_F21_PULL,AIT,Direct Pull Special,PIC
PxCascadeTrack2_F21_PULL,AMO/L8,MCCB,PIC
ReelDieLossCodes_F21_PULL,AIT,Users,Users
RegenManualMoveOutConfig_F21_PULL,AIT,Direct Pull,PIC
ReworkCauses_F21_PULL,WIP,Direct Pull,PIC
ReworkLimitOnLithoLayers_F21_PULL,MES,Users,Users
SmartDelayConfigurationEx_F21_PULL,AMO/L8,Direct Pull Special,PIC
SONIC_SKIP_OPERATIONS_1272_F21_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1273_F21_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1274_F21_PULL,MES,Users,Users
SorterAction_F21_PULL,WIP,Direct Pull,PIC
StartsQueueConfiguration_F21_PULL,AIT,Direct Pull,PIC
SubmarineConfig_F21_PULL,MES,Direct Pull Special,PIC
SubmarineLiteCapacitorConfig_F21_PULL,MES,Direct Pull Special,PIC
TALAConcurrencyEnabledTool_F21_PULL,MES,Direct Pull Special,PIC
TALAExcludedUDAUpdate_F21_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesDefect_F21_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesParticle_F21_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesThickness_F21_PULL,AIT,Direct Pull,PIC
TimerDefinition_F21_PULL,AIT,Direct Pull,PIC
TimerOperEvents_F21_PULL,AIT,Direct Pull,PIC
TWAttributesReset_F21_PULL,MES,Direct Pull,PIC
UndoAllowedIntermediateTransactions_F21_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_F21_PULL,WIP,MCCB,MES
VFMFGIDValidationList_F21_PULL,User,Direct Pull,PIC
